Account_Name,Real_Name,Anzahl_Follower_(11.05.2020),Was
FCBayern,FC Bayern München,4.800.000,Verein 1. Bundesliga
BVB,Borussia Dortmund,3.500.000,Verein 1. Bundesliga
DieRotenBullen,RB Leipzig,186.229,Verein 1. Bundesliga
borussia, Borussia (Mönchengladbach),501.434,Verein 1. Bundesliga
bayer04fussball,Bayer 04 Leverkusen,419.114,Verein 1. Bundesliga
s04,FC Schalke 04,742.581,Verein 1. Bundesliga
VfL_Wolfsburg,VfL Wolfsburg,284.840,Verein 1. Bundesliga
scfreiburg,SC Freiburg,274.196,Verein 1. Bundesliga
tsghoffenheim,TSG Hoffenheim,205.002,Verein 1. Bundesliga
fckoeln,1. FC Köln,645.662,Verein 1. Bundesliga
fcunion,1. FC Union Berlin,146.667,Verein 1. Bundesliga
Eintracht,Eintracht Frankfurt,494.675,Verein 1. Bundesliga
HerthaBSC,Hertha BSC (Berlin),350.705,Verein 1. Bundesliga
FCAugsburg,FC Augsburg,199.008,Verein 1. Bundesliga
1FSVMainz05,1. FSV Mainz 05,189.071,Verein 1. Bundesliga
f95,Fortuna Düsseldorf,165.520,Verein 1. Bundesliga
werderbremen,SV Werder Bremen,508.512,Verein 1. Bundesliga
SCPaderborn07,SC Paderborn 07,66.606,Verein 1. Bundesliga
arminia,DSC ArminiaBielefeld,81.507,Verein 2. Bundesliga
VfB,VfB Stuttgart,523.837,Verein 2. Bundesliga
HSV,Hamburger SV,714.372,Verein 2. Bundesliga
FCH1846,1. FC Heidenheim 1846,32.073,Verein 2. Bundesliga
kleeblattfuerth,SPVGG GREUTHER FÜRTH,50.576,Verein 2. Bundesliga
sv98,SV Darmstadt 98,101.087,Verein 2. Bundesliga
Holstein_Kiel,Holstein Kiel,21.508,Verein 2. Bundesliga
FCErzgebirgeAue,FC Erzgebirge Aue,71.925,Verein 2. Bundesliga
Hannover96,Hannover 96,321.735,Verein 2. Bundesliga
SSVJAHN,SSV Jahn Regensburg,16.804,Verein 2. Bundesliga
fcstpauli,FC St. Pauli,216.916,Verein 2. Bundesliga
VfL_1899,VfL Osnabrück,19.164,Verein 2. Bundesliga
SV_Sandhausen,SV Sandhausen 1916 e.V.,38.582,Verein 2. Bundesliga
1_fc_nuernberg,1. FC Nürnberg,282.814,Verein 2. Bundesliga
VfLBochum1848eV,VfL Bochum 1848,103.423,Verein 2. Bundesliga
SVWW_official,SV Wehen Wiesbaden,4.214,Verein 2. Bundesliga
KarlsruherSC,Karlsruher SC,82.353,Verein 2. Bundesliga
DynamoDresden,SG Dynamo Dresden,101.777,Verein 2. Bundesliga
DFB_Team,Die Mannschaft,3.200.000,Nationalmannschaft
DFL_Official,DFL Deutsche Fußball Liga,21.725,Andere
DFB,DFB (Verband),131.583,Andere
SkySportNewsHD,Sky Sport News HD,687.214,Sport Medien
SPORTBILD,SPORT BILD,394.666,Sport Medien
Transfermarkt,Transfermarkt,109.892,Sport Medien
BILD_Sport,BILD Sport,315.465,Sport Medien
SPORT1_Dopa,SPORT1-Doppelpass,78.893,Sport Medien
ZDFsportstudio,AktuellesSportstudio,351.148,Sport Medien
Eurosport_DE,Eurosport DE,38.344,Sport Medien
SZ_sport,SZ Sport,160.834,Sport Medien
fums_magazin,FUMS,64.267,Sport Medien
11Freunde_de,11FREUNDE_de,262.847,Sport Medien
kicker_2bl_li,kicker | 2. Bundesliga,39.888,Sport Medien
DAZN_DE,DAZN DE,73.168,Sport Medien
ZDFsport,ZDF Sport,610.852,Sport Medien
Fussball_Bild,Bild FUSSBALL,142.396,Sport Medien
kicker_bl_li,kicker | Bundesliga,202.374,Sport Medien
sportschau,Sportschau,618.375,Sport Medien
ransport,ran,156.078,Sport Medien
SPORT1,SPORT1,588.597,Sport Medien
FAZ_Sport,FAZ Sport,67.593,Sport Medien
SkySportDE,Sky Sport,394.303,Sport Medien
Peter_Ahrens,Peter Ahrens,18.866,Journalist/Reporter
Sportkultur,Klaas Reese,14.147,Journalist/Reporter
cfbayern,Christian Falk,56.304,Journalist/Reporter
GNetzer,Max-Jacob Ost,18.958,Journalist/Reporter
leongoretzka_,Leon Goretzka,48.640,BL-Profi
David_Alaba,David Alaba,1.800.000,BL-Profi
JB17Official,Jerome Boateng,2.400.000,BL-Profi
lewy_official,Robert Lewandowski,1.200.000,BL-Profi
esmuellert_,Thomas Müller,4.200.000,BL-Profi
LucasHernandez,Lucas Hernández,296.028,BL-Profi
BenPavard28,Benjamin Pavard 5,170.791,BL-Profi
Phil_Coutinho,Philipe Coutinho,2.000.000,BL-Profi
SergeGnabry,Serge Gnabry,601.017,BL-Profi
Javi8martinez,Javi Martínez,1.300.000,BL-Profi
Thiago6,Thiago Alcantara,3.200.000,BL-Profi
emrecan_,Emre Can,113.280,BL-Profi
matshummels,Mats Hummels,2.100.000,BL-Profi
woodyinho,Marco Reus,3.000.000,BL-Profi
MarioGoetze,Mario Götze,4.300.000,BL-Profi